TxId,Bacon,Butter,Cereal,Eggs,Flour,Milk
1,1,0,1,0,0,0
2,0,1,0,0,1,1
3,0,0,1,0,0,1
4,0,1,0,1,1,1
5,1,0,0,1,0,1
6,0,1,1,0,0,0
7,1,0,0,0,0,0
8,1,0,0,1,1,0
9,0,1,0,0,1,0
10,0,1,0,1,1,1
11,0,0,1,0,0,1
12,0,1,0,0,0,1
13,1,0,0,0,0,0
14,0,0,0,0,0,1
15,1,0,1,0,0,0
16,1,0,1,0,0,0
17,0,1,0,0,1,1
18,0,1,1,0,0,1
19,0,1,0,1,1,1
20,1,0,0,1,0,1
21,0,1,1,0,1,0
22,1,0,0,0,0,0
23,1,1,0,1,1,0
24,0,1,0,0,1,0
25,0,1,0,1,1,1
26,0,0,1,0,1,1
27,0,1,1,0,0,1
28,1,0,0,0,0,0
29,0,0,0,1,0,1
30,1,0,1,0,0,0
31,1,0,1,0,0,1
32,0,1,0,0,1,1
33,0,0,1,0,0,1
34,0,1,0,1,1,1
35,1,0,0,1,0,1
36,0,1,1,0,1,0
37,1,0,0,0,0,0
38,1,0,0,1,1,0
39,0,1,0,0,1,0
40,0,1,0,1,1,1
41,0,0,1,1,0,1
42,0,1,0,0,0,1
43,1,0,0,1,0,0
44,0,0,0,0,0,1
45,1,0,1,0,0,0
46,1,0,1,0,0,0
47,0,1,0,0,1,1
48,0,1,1,0,0,1
49,0,1,1,1,1,1
50,1,1,1,1,1,1
