Total Stock Market Index Fund Investor Shares (VTSMX) , , ,  
Holding details,2020-07-31
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"2046251","AAPL","Apple Inc.",110877068,$47127188982.72,5.1002811282,"Technology Hardware, Storage & Periphera","US",---
,"2588173","MSFT","Microsoft Corp.",215546640,$44189216666.4,4.7823227461,"Systems Software","US",---
,"2000019","AMZN","Amazon.com Inc.",12050301,$38135346568.68,4.1271502209,"Internet & Direct Marketing Retail","US",---
,"B7TL820","FB","Facebook Inc. Class A",68344186,$17336869662.62,1.8762610516,"Interactive Media & Services","US",---
,"BYVY8G0","GOOGL","Alphabet Inc. Class A",8524733,$12684376467.35,1.3727507902,"Interactive Media & Services","US",---
,"BYY88Y7","GOOG","Alphabet Inc. Class C",8125211,$12049362904.56,1.304027241,"Interactive Media & Services","US",---
,"2475833","JNJ","Johnson & Johnson",74889546,$10915900224.96,1.1813596591,"Pharmaceuticals","US",---
,"2073390","BRK.B","Berkshire Hathaway Inc. Class B",52157595,$10211413949.1,1.1051175124,"Multi-Sector Holdings","US",---
,"2704407","PG","Procter & Gamble Co.",70381116,$9228371929.92,0.9987290185,"Household Products","US",---
,"B2PZN04","V","Visa Inc. Class A",47738576,$9089424870.4,0.9836916466,"Data Processing & Outsourced Services","US",---
,"2917766","UNH","UnitedHealth Group Inc.",26955134,$8161475472.52,0.8832654828,"Managed Health Care","US",---
,"2434209","HD","Home Depot Inc.",30572071,$8116579129.79,0.8784066322,"Home Improvement Retail","US",---
,"B121557","MA","Mastercard Inc. Class A",25404238,$7837969550.14,0.8482544586,"Data Processing & Outsourced Services","US",---
,"2190385","JPM","JPMorgan Chase & Co.",80822655,$7810701379.2,0.8453033949,"Diversified Banks","US",---
,"2379504","NVDA","NVIDIA Corp.",16606002,$7050742389.18,0.763057783,"Semiconductors","US",---
,"2090571","VZ","Verizon Communications Inc.",117654085,$6762756805.8,0.7318909032,"Integrated Telecommunication Services","US",---
,"BYW36M8","PYPL","PayPal Holdings Inc.",33374008,$6543641748.56,0.70817745,"Data Processing & Outsourced Services","US",---
,"2857817","NFLX","Netflix Inc.",12500939,$6111459058.32,0.6614050185,"Movies & Entertainment","US",---
,"2008154","ADBE","Adobe Inc.",13691537,$6083423719.84,0.658370929,"Application Software","US",---
,"2684703","PFE","Pfizer Inc.",157906971,$6076260244.08,0.6575956708,"Pharmaceuticals","US",---
,"B616C79","TSLA","Tesla Inc.",4218319,$6035402092.44,0.6531738484,"Automobile Manufacturers","US",---
,"2270726","DIS","Walt Disney Co.",51350246,$6004897767.24,0.6498725559,"Movies & Entertainment","US",---
,"2831811","T","AT&T Inc.",202517307,$5990461941.06,0.6483102567,"Integrated Telecommunication Services","US",---
,"2778844","MRK","Merck & Co. Inc.",71750009,$5757220722.16,0.6230680173,"Pharmaceuticals","US",---
,"2463247","INTC","Intel Corp.",120353497,$5744472411.81,0.6216883473,"Semiconductors","US",---
,"2044545","CMCSA","Comcast Corp. Class A",129461847,$5540967051.6,0.599664234,"Cable & Satellite","US",---
,"2295677","BAC","Bank of America Corp.",222167305,$5527522548.4,0.5982092195,"Diversified Banks","US",---
,"2681511","PEP","PepsiCo Inc.",39460323,$5432108064.18,0.5878831062,"Soft Drinks","US",---
,"2936921","WMT","Walmart Inc.",40278919,$5212092118.6,0.5640721554,"Hypermarkets & Super Centers","US",---
,"2206657","KO","Coca-Cola Co.",109946825,$5193888013,0.5621020389,"Soft Drinks","US",---
,"2198163","CSCO","Cisco Systems Inc.",108011245,$5087329639.5,0.5505698921,"Communications Equipment","US",---
,"2002305","ABT","Abbott Laboratories",50272072,$5059381326.08,0.5475452208,"Health Care Equipment","US",---
,"2326618","XOM","Exxon Mobil Corp.",120212341,$5058535309.28,0.5474536617,"Integrated Oil & Gas","US",---
,"B92SR70","ABBV","AbbVie Inc.",50099332,$4754927600.12,0.5145960968,"Biotechnology","US",---
