Ticker,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,GICS Sector
AAPL,DJIA S&P500,36.75,3.29,0.07%,17.25B,-3.30%,2070.71B,31.12,19.84%,-3.09%,17.09B,9.83%,58.42B,2.95,2.8,62.30%,0.55%,45.86%,273.86B,7.56,-2.60%,-0.86%,0.58,67.29%,4.19,28.85,19.84%,17.70%,110.81,126.71%,5.43,22.26,12.46%,70.70%,51.06 - 137.98,64.66%,0.82,35.91,13.00%,26.90%,-12.39%,1.26,0.68%,1.40,7.30%,38.20%,136.76%,4.67,137000.0,1.50,10.90%,24.50%,54.42,4.86% 3.17%,Yes,1.57,18.40%,21.30%,1.56,131.4,Yes,1.31,Jul 30 AMC,23.60%,161.82M,120.88,2.2,0.72%,14.41%,48.13%,"251,725,012",-8.01%,Information Technology
MSFT,DJIA S&P500,37.7,5.76,0.10%,7.58B,-4.10%,1627.71B,29.62,13.59%,-5.88%,7.46B,2.05%,44.28B,2.51,1.54,72.90%,0.40%,16.08%,143.02B,11.38,13.40%,-0.77%,0.86,34.49%,15.6,13.93,13.59%,15.40%,226.93,55.16%,18.23,11.92,15.00%,39.50%,132.52 - 232.86,37.79%,2.04,54.08,31.30%,23.10%,-6.68%,0.90,0.94%,2.50,8.90%,67.80%,63.98%,5.75,163000.0,2.50,12.80%,36.90%,50.16,2.84% 2.28%,Yes,0.62,-14.10%,31.00%,1.68,231.65,Yes,0.58,Jul 22 AMC,34.20%,34.38M,217.3,1.7,0.66%,3.35%,21.59%,"57,706,830",-6.19%,Information Technology
AMZN,S&P 500,129.46,26.02,10.90%,500.00M,-0.94%,1686.09B,76.31,39.66%,-1.86%,426.04M,5.08%,13.18B,3.59,7.24,59.50%,0.52%,35.64%,321.78B,5.24,15.90%,-0.19%,0.48,77.16%,147.46,22.84,39.66%,5.80%,3636.42,82.97%,142.61,23.62,36.03%,20.50%,1626.03 - 3552.25,82.27%,-,62.55,115.10%,11.70%,-5.19%,1.32,-,1.00,25.80%,40.30%,107.13%,91.0,876800.0,1.20,40.20%,5.20%,55.41,2.57% 2.48%,Yes,0.69,97.40%,4.10%,1.74,3531.45,Yes,0.68,Jul 30 AMC,0.00%,4.63M,3368.0,1.8,2.36%,7.90%,43.91%,"8,045,811",-4.63%,Consumer Discretionary
FB,S&P 500,37.14,7.84,0.66%,2.85B,-0.72%,828.11B,28.68,26.92%,-0.55%,2.39B,16.86%,23.52B,2.18,1.87,80.10%,0.98%,26.15%,75.16B,11.02,-15.10%,0.12%,0.92,60.76%,38.75,7.51,26.92%,17.60%,284.24,52.50%,20.47,14.22,17.05%,22.90%,137.10 - 304.67,41.84%,-,43.99,42.20%,17.40%,-4.45%,1.26,-,6.00,41.50%,81.50%,112.34%,9.99,52534.0,6.00,10.70%,37.10%,62.74,3.10% 3.51%,Yes,0.00,97.70%,31.30%,1.25,302.5,Yes,0.00,Jul 30 AMC,0.00%,25.27M,291.12,1.8,6.03%,15.17%,35.94%,"31,485,584",-3.76%,Communication Services
GOOGL,S&P 500,36.85,44.22,0.14%,681.77M,0.06%,1102.88B,28.8,27.82%,0.00%,613.80M,10.17%,31.53B,7.68,11.15,80.70%,0.36%,13.16%,166.03B,6.64,12.50%,-0.41%,1.25,25.76%,304.09,5.36,27.82%,11.60%,1541.44,34.43%,178.90,9.11,4.80%,15.60%,1008.87 - 1726.10,21.66%,-,35.40,19.90%,14.10%,-5.60%,1.08,-,3.40,19.70%,54.20%,61.52%,39.98,127498.0,3.40,-1.70%,19.80%,57.76,2.74% 2.24%,Yes,0.02,-33.20%,19.00%,1.77,1717.39,Yes,0.02,Jul 30 AMC,0.00%,1.75M,1629.51,1.8,3.85%,6.91%,17.21%,"3,093,648",-5.12%,Communication Services
GOOG,S&P 500,36.09,45.49,5.75%,686.47M,0.46%,1127.07B,29.11,27.70%,0.00%,610.53M,11.42%,-,5.93,11.08,70.62%,0.26%,14.14%,166.03B,6.79,-10.20%,-,0.92,26.45%,304.34,5.39,27.70%,-,1699.84,35.53%,-,-,6.09%,-,1013.54 - 1733.18,22.80%,-,-,-,-,-5.27%,-,-,-,-,-,61.99%,40.75,127498.0,-,-1.70%,-,58.93,2.80% 2.29%,Yes,-,-30.00%,-,1.78,1728.28,Yes,-,Jul 30 AMC,-,1.74M,1641.84,1.6,4.44%,7.74%,18.02%,"3,097,261",-5.00%,Communication Services
JNJ,DJIA S&P500,26.83,5.58,0.08%,2.63B,-2.24%,392.05B,16.54,14.91%,-1.29%,2.63B,0.77%,14.89B,5.28,1.96,70.20%,0.36%,1.53%,80.50B,4.87,0.50%,-0.93%,1.45,5.29%,23.92,6.25,,9.70%,165.06,16.31%,7.30,20.49,5.08%,25.10%,109.16 - 157.00,2.52%,4.04,53.85,-0.20%,17.30%,-4.75%,0.68,2.70%,1.00,2.00%,65.80%,37.00%,2.72,132200.0,1.20,-10.80%,20.30%,48.84,2.70% 1.70%,Yes,0.48,-34.70%,18.90%,1.33,153.83,Yes,0.40,Jul 16 BMO,66.90%,6.51M,149.55,1.9,-0.72%,1.49%,3.60%,"8,659,822",-2.78%,Healthcare
BRK.B,S&P 500,0.02,13690.33,0.18%,2.43B,0.59%,530.10B,20.01,15.80%,0.00%,1.19B,7.14%,-,0.0,2.45,68.84%,1.06%,8.72%,249.93B,2.12,-3.80%,-,2.05,5.91%,245764.8,0.0,,-,226.5,6.81%,-,-,23.30%,-,159.50 - 231.61,-3.69%,-,-,-,-,-5.81%,-,-,-,-,-,36.77%,3.44,391500.0,-,-10.60%,-,68.91,1.63% 1.51%,Yes,-,86.80%,-,1.15,221.68,Yes,-,Aug 07 AMC,-,6.13M,218.15,2.2,2.75%,10.38%,8.13%,"7,062,246",-1.59%,Financial
PG,DJIA S&P500,27.89,4.96,0.10%,2.48B,0.04%,342.34B,24.0,6.84%,-89.87%,2.47B,3.61%,12.76B,3.61,1.41,65.60%,0.56%,16.84%,70.95B,4.83,246.70%,-0.43%,2.02,13.64%,18.39,7.52,,11.00%,129.64,12.63%,6.54,21.16,7.72%,28.30%,94.34 - 141.44,10.70%,3.16,52.34,11.80%,16.10%,-2.25%,0.41,2.29%,0.70,0.10%,51.20%,46.56%,2.0,99000.0,0.80,3.50%,22.10%,63.36,1.82% 1.26%,Yes,0.76,153.60%,18.00%,1.06,140.51,Yes,0.52,Jul 30 BMO,59.00%,6.82M,138.26,2.2,1.22%,6.87%,13.41%,"7,247,454",-1.60%,Consumer Staples
V,DJIA S&P500,39.73,5.26,0.20%,1.98B,-0.98%,434.99B,35.87,16.17%,-6.33%,1.42B,6.56%,11.33B,4.03,1.09,96.60%,1.84%,4.68%,22.88B,19.01,20.00%,-0.53%,3.26,13.34%,15.27,13.68,,15.20%,222.71,13.12%,7.99,26.15,9.86%,38.30%,133.93 - 217.35,11.21%,1.20,48.31,19.80%,26.50%,-3.86%,0.90,0.57%,1.60,12.60%,80.50%,56.02%,4.15,19500.0,1.60,-17.20%,64.10%,56.79,2.24% 1.78%,Yes,0.69,-21.70%,49.50%,1.39,216.48,Yes,0.59,Jul 28 AMC,20.30%,8.06M,208.96,1.8,2.34%,5.39%,10.96%,"11,219,872",-3.47%,Financial
